Australia	0.00120696821806086	9559	7919844	79	876	0.0897660098522167
Austria	0.00455712057205971	20011	4391150	240	1356	0.0198818897637795
Belgium	0.00760660372402661	31856	4187940	389	1964	0.118839177750907
Bolivia	0.0239947006373883	21951	914827	97	841	0.134408866995074
Bulgaria	0.0318478147446786	37235	1169154	305	3350	0.103241206030151
Canada	0.0105936371487544	41301	3898661	520	2662	0.0617582417582416
Cyprus	0.00213839945215627	993	464366	16	109	0.0129594594594594
Czechia	0.0102641353389011	40310	3927267	437	2618	0.0948793565683646
Denmark	0.0020374105822485	6434	3157930	34	360	0.0489519112207152
Estonia	0.00446733734265927	2588	579316	18	228	0.111965811965812
Finland	0.00423960005047355	4771	1125342	29	292	0.121055900621118
France	0.00494720034505783	149108	30139875	2263	17068	0.0862812089356111
Ireland	0.00471524769940011	7442	1578284	69	527	0.140933333333333
Israel	0.00255774380319696	10911	4265869	153	995	0.0651515151515157
Italy	0.00931997986921652	167892	18014202	1217	12529	0.067541567695962
Japan	0.00338570383993119	31074	9178003	835	8965	0.0997321428571428
Latvia	0.00702665798785292	5743	817316	81	598	0.113529411764706
Luxembourg	0.00423098200858663	1086	256678	12	64	0.0889855072463767
Malaysia	0.00786942376930687	35732	4540612	376	3575	0.0503422982885086
Malta	0.00845630676365457	608	71899	5	41	0.0339473684210526
Netherlands	0.00275465956357233	22431	8142930	321	997	0.199400278940028
Portugal	0.00493591952881667	23115	4683018	189	1265	0.0652303523035232
Romania	0.0231051190621116	63961	2768261	851	7594	0.100188679245283
Serbia	0.00796387548921902	16118	2023889	112	2868	0.150946601941748
Slovakia	0.00790663108813538	20140	2547229	176	1217	0.0746296296296295
Slovenia	0.00643622645601831	6647	1032748	82	407	0.160553549939832
South Africa	0.0254943147505131	101697	3989007	873	6345	0.12895728643216
Spain	0.00855516886791544	107482	12563399	1508	7564	0.133309037900875
Sweden	0.00721566770467737	17798	2466577	130	966	0.102459283387622
Switzerland	0.00373322311951041	13820	3701895	164	991	0.138445322793149
United Kingdom	0.00893952994769745	198747	22232377	896	10096	0.0461168831168833
United States	0.01174128821596	1013938	86356623	12798	53204	0.0798863636363637
